QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,52.55396011650703,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,42.859950980345964,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.793623837071145,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,40.04547290244275,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,33.86432425465342,False,"two-pointers,string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,47.999998555342835,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,28.614205433266893,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,17.26314621599306,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,56.37926183311811,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.162688847474342,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,55.278736822375954,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,64.78932860603724,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,61.25997898216331,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,42.824042668876054,False,"string,trie",algorithms
15,3Sum,3sum,Medium,34.52981961158024,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.8218002475174,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,60.47417162742853,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,36.26884163890178,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,45.370528175404566,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.583647898313096,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,64.30952013458476,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,74.58243606418107,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,52.83836452104869,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,64.40365852850941,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,58.74167379862415,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,55.74743172293132,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,56.84572292214146,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,42.372816978063206,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.478930218736433,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,32.631826838109845,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,39.94693721142293,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,34.19702141452437,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,40.76909474277339,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,44.307012852296765,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,45.96642640364188,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,59.68657599521594,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,61.17923344072974,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,55.12802300582189,False,string,algorithms
39,Combination Sum,combination-sum,Medium,71.48535007780168,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,54.554776845519285,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,39.52285955489247,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,62.0133207550182,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,40.43675964417082,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.984166880800693,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.4618846537591,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,78.36914950007947,False,"array,backtracking",algorithms
